set_id,split,n_raters,votes_a,votes_t,votes_b,majority,unanimous
inst-0237,test,3,3,0,0,A,1
inst-0576,test,3,2,0,1,A,0
inst-0670,val,3,3,0,0,A,1
inst-0032,test,3,2,0,1,A,0
inst-0747,val,3,1,0,2,B,0
inst-0620,val,3,1,1,1,,0
inst-0261,val,3,0,0,3,B,1
inst-0385,val,3,0,0,3,B,1
inst-0528,test,3,1,1,1,,0
inst-0157,test,3,3,0,0,A,1
inst-0784,val,3,2,0,1,A,0
inst-0391,test,3,1,1,1,,0
inst-0376,val,3,2,0,1,A,0
inst-0894,val,3,1,0,2,B,0
inst-0517,test,3,2,0,1,A,0
inst-0110,test,3,1,0,2,B,0
inst-0192,test,3,3,0,0,A,1
inst-0034,test,3,0,0,3,B,1
inst-0817,test,3,2,1,0,A,0
inst-0213,test,3,0,0,3,B,1
inst-0675,val,3,1,0,2,B,0
inst-0396,test,3,2,1,0,A,0
inst-0569,test,3,1,1,1,,0
inst-0428,test,3,1,1,1,,0
inst-0751,val,3,0,0,3,B,1
inst-0748,test,3,2,0,1,A,0
inst-0308,test,3,3,0,0,A,1
inst-0427,val,3,3,0,0,A,1
inst-0508,val,3,0,1,2,B,0
inst-0429,test,3,3,0,0,A,1
inst-0876,val,3,0,0,3,B,1
inst-0642,test,3,1,0,2,B,0
inst-0085,test,3,1,0,2,B,0
inst-0278,test,3,1,2,0,T,0
inst-0457,test,3,1,0,2,B,0
inst-0602,val,3,2,0,1,A,0
inst-0349,val,3,2,1,0,A,0
inst-0684,test,3,2,1,0,A,0
inst-0296,test,3,1,1,1,,0
inst-0875,val,3,2,0,1,A,0
inst-0849,val,3,2,0,1,A,0
inst-0789,test,3,0,1,2,B,0
inst-0495,val,3,2,0,1,A,0
inst-0064,test,3,2,0,1,A,0
inst-0589,test,3,2,1,0,A,0
inst-0606,test,3,0,0,3,B,1
inst-0392,val,3,2,0,1,A,0
inst-0672,test,3,1,0,2,B,0
inst-0149,test,3,1,0,2,B,0
inst-0974,test,3,1,0,2,B,0
inst-0839,test,3,1,0,2,B,0
inst-0612,test,3,0,0,3,B,1
inst-0127,test,3,2,0,1,A,0
inst-0218,test,3,2,0,1,A,0
inst-0221,test,3,1,0,2,B,0
inst-0029,val,3,2,1,0,A,0
inst-0321,val,3,0,0,3,B,1
inst-0339,val,3,2,1,0,A,0
inst-0596,val,3,0,0,3,B,1
inst-0556,test,3,2,0,1,A,0
inst-0770,val,3,2,0,1,A,0
inst-0864,val,3,2,1,0,A,0
inst-0011,test,3,3,0,0,A,1
inst-0653,test,3,1,0,2,B,0
inst-0695,test,3,2,0,1,A,0
inst-0888,val,3,2,0,1,A,0
inst-0234,test,3,1,0,2,B,0
inst-0916,test,3,2,1,0,A,0
inst-0904,test,3,1,0,2,B,0
inst-0844,test,3,1,0,2,B,0
inst-0998,test,3,2,0,1,A,0
inst-0081,val,3,3,0,0,A,1
inst-0063,test,3,1,2,0,T,0
inst-0437,test,3,2,0,1,A,0
inst-0006,val,3,1,1,1,,0
inst-0566,val,3,2,0,1,A,0
inst-0368,test,3,1,0,2,B,0
inst-0388,test,3,0,1,2,B,0
inst-0812,test,3,2,0,1,A,0
inst-0267,test,3,1,0,2,B,0
inst-0918,val,3,2,1,0,A,0
inst-0892,test,3,0,2,1,T,0
inst-0636,test,3,1,1,1,,0
inst-0370,test,3,1,0,2,B,0
inst-0643,test,3,1,0,2,B,0
inst-0700,test,3,1,0,2,B,0
inst-0966,val,3,3,0,0,A,1
inst-0873,test,3,2,0,1,A,0
inst-0535,test,3,2,0,1,A,0
inst-0447,test,3,1,0,2,B,0
inst-0644,test,3,2,1,0,A,0
inst-0108,val,3,2,1,0,A,0
inst-0743,val,3,0,0,3,B,1
inst-0588,test,3,3,0,0,A,1
inst-0240,test,3,2,0,1,A,0
inst-0004,test,3,0,0,3,B,1
inst-0652,test,3,2,0,1,A,0
inst-0131,test,3,3,0,0,A,1
inst-0973,test,3,3,0,0,A,1
inst-0062,test,3,2,0,1,A,0
inst-0197,test,3,2,0,1,A,0
inst-0177,val,3,1,1,1,,0
inst-0442,test,3,3,0,0,A,1
inst-0911,test,3,2,0,1,A,0
inst-0565,val,3,0,0,3,B,1
inst-0735,val,3,1,0,2,B,0
inst-0801,test,3,1,1,1,,0
inst-0879,test,3,0,2,1,T,0
inst-0488,test,3,1,0,2,B,0
inst-0399,val,3,1,0,2,B,0
inst-0920,test,3,3,0,0,A,1
inst-0773,test,3,2,0,1,A,0
inst-0282,test,3,0,0,3,B,1
inst-0628,test,3,1,0,2,B,0
inst-0358,test,3,0,0,3,B,1
inst-0572,test,3,3,0,0,A,1
inst-0704,test,3,2,0,1,A,0
inst-0655,test,3,2,0,1,A,0
inst-0534,test,3,2,0,1,A,0
inst-0304,val,3,1,0,2,B,0
inst-0314,test,3,3,0,0,A,1
inst-0371,test,3,0,0,3,B,1
inst-0434,val,3,2,0,1,A,0
inst-0186,val,3,2,0,1,A,0
inst-0937,test,3,2,0,1,A,0
inst-0989,test,3,2,1,0,A,0
inst-0176,test,3,1,0,2,B,0
inst-0246,test,3,3,0,0,A,1
inst-0627,test,3,2,0,1,A,0
inst-0412,test,3,0,0,3,B,1
inst-0579,test,3,1,1,1,,0
inst-0293,test,3,2,0,1,A,0
inst-0407,test,3,2,0,1,A,0
inst-0547,val,3,2,0,1,A,0
inst-0848,test,3,1,0,2,B,0
inst-0777,val,3,2,0,1,A,0
inst-0515,test,3,1,0,2,B,0
inst-0163,test,3,0,0,3,B,1
inst-0595,test,3,0,3,0,T,1
inst-0295,test,3,2,1,0,A,0
inst-0193,test,3,0,0,3,B,1
inst-0494,test,3,3,0,0,A,1
inst-0564,test,3,1,1,1,,0
inst-0438,test,3,1,0,2,B,0
inst-0121,val,3,3,0,0,A,1
inst-0135,val,3,1,1,1,,0
inst-0551,val,3,1,2,0,T,0
inst-0641,test,3,0,0,3,B,1
inst-0763,test,3,2,0,1,A,0
inst-0815,test,3,0,0,3,B,1
inst-0284,test,3,2,0,1,A,0
inst-0651,test,3,1,1,1,,0
inst-0514,test,3,3,0,0,A,1
inst-0444,val,3,1,1,1,,0
inst-0924,test,3,0,2,1,T,0
inst-0025,val,3,1,0,2,B,0
inst-0456,val,3,3,0,0,A,1
inst-0581,test,3,1,0,2,B,0
inst-0169,test,3,1,0,2,B,0
inst-0074,test,3,2,0,1,A,0
inst-0713,test,3,3,0,0,A,1
inst-0746,test,3,0,0,3,B,1
inst-0133,test,3,2,0,1,A,0
inst-0019,test,3,1,0,2,B,0
inst-0047,test,3,2,0,1,A,0
inst-0802,val,3,1,0,2,B,0
inst-0290,val,3,0,1,2,B,0
inst-0639,test,3,3,0,0,A,1
inst-0350,val,3,1,0,2,B,0
inst-0656,test,3,0,0,3,B,1
inst-0772,test,3,1,1,1,,0
inst-0629,test,3,3,0,0,A,1
inst-0255,test,3,2,0,1,A,0
inst-0729,test,3,2,0,1,A,0
inst-0948,test,3,0,0,3,B,1
inst-0033,test,3,1,0,2,B,0
inst-0969,val,3,3,0,0,A,1
inst-0390,val,3,2,0,1,A,0
inst-0443,test,3,1,0,2,B,0
inst-0291,test,3,1,1,1,,0
inst-0522,test,3,2,1,0,A,0
inst-0496,test,3,1,0,2,B,0
inst-0529,test,3,1,1,1,,0
inst-0832,val,3,1,0,2,B,0
inst-0591,test,3,1,1,1,,0
inst-0882,val,3,2,0,1,A,0
inst-0884,val,3,2,0,1,A,0
inst-0563,test,3,3,0,0,A,1
inst-0125,test,3,1,0,2,B,0
inst-0818,val,3,0,0,3,B,1
inst-0015,val,3,0,0,3,B,1
inst-0354,val,3,3,0,0,A,1
inst-0914,test,3,1,1,1,,0
inst-0780,val,3,0,1,2,B,0
inst-0421,test,3,1,0,2,B,0
inst-0756,test,3,0,1,2,B,0
inst-0479,val,3,0,0,3,B,1
inst-0900,val,3,1,0,2,B,0
inst-0351,val,3,2,0,1,A,0
inst-0659,val,3,3,0,0,A,1
inst-0711,test,3,0,0,3,B,1
inst-0107,test,3,1,0,2,B,0
inst-0506,test,3,1,1,1,,0
inst-0403,val,3,1,0,2,B,0
inst-0021,val,3,1,0,2,B,0
inst-0301,test,3,2,1,0,A,0
inst-0480,test,3,0,1,2,B,0
inst-0757,test,3,2,0,1,A,0
inst-0949,test,3,2,0,1,A,0
inst-0012,test,3,2,1,0,A,0
inst-0762,val,3,1,0,2,B,0
inst-0736,val,3,2,1,0,A,0
inst-0705,val,3,0,0,3,B,1
inst-0199,test,3,2,1,0,A,0
inst-0035,val,3,1,0,2,B,0
inst-0366,test,3,3,0,0,A,1
inst-0501,test,3,2,0,1,A,0
inst-0141,test,3,3,0,0,A,1
inst-0955,val,3,0,0,3,B,1
inst-0852,test,3,2,0,1,A,0
inst-0158,test,3,1,0,2,B,0
inst-0567,val,3,2,0,1,A,0
inst-0242,test,3,1,2,0,T,0
inst-0883,test,3,1,1,1,,0
inst-0613,test,3,2,0,1,A,0
inst-0202,val,3,2,1,0,A,0
inst-0513,val,3,1,0,2,B,0
inst-0906,test,3,2,1,0,A,0
inst-0959,test,3,3,0,0,A,1
inst-0462,val,3,3,0,0,A,1
inst-0944,val,3,3,0,0,A,1
inst-0993,test,3,1,0,2,B,0
inst-0593,test,3,0,0,3,B,1
inst-0065,val,3,0,2,1,T,0
inst-0008,test,3,0,0,3,B,1
inst-0721,test,3,2,0,1,A,0
inst-0734,val,3,3,0,0,A,1
inst-0822,val,3,1,0,2,B,0
inst-0707,test,3,2,0,1,A,0
inst-0631,test,3,1,2,0,T,0
inst-0053,val,3,3,0,0,A,1
inst-0583,val,3,3,0,0,A,1
inst-0749,val,3,0,0,3,B,1
inst-0114,val,3,1,1,1,,0
inst-0727,test,3,0,0,3,B,1
inst-0138,test,3,0,0,3,B,1
inst-0552,val,3,1,0,2,B,0
inst-0279,val,3,1,1,1,,0
inst-0491,test,3,2,0,1,A,0
inst-0718,test,3,3,0,0,A,1
inst-0899,test,3,1,1,1,,0
inst-0630,val,3,0,0,3,B,1
inst-0231,test,3,1,0,2,B,0
inst-0129,test,3,1,0,2,B,0
inst-0365,test,3,1,1,1,,0
inst-0586,val,3,0,1,2,B,0
inst-0730,test,3,3,0,0,A,1
inst-0147,val,3,2,0,1,A,0
inst-0821,test,3,0,2,1,T,0
inst-0002,test,3,3,0,0,A,1
inst-0975,test,3,2,0,1,A,0
inst-0905,test,3,3,0,0,A,1
inst-0001,test,3,2,0,1,A,0
inst-0331,test,3,1,0,2,B,0
inst-0460,test,3,1,1,1,,0
inst-0045,test,3,3,0,0,A,1
inst-0377,test,3,0,0,3,B,1
inst-0182,test,3,0,0,3,B,1
inst-0446,test,3,1,0,2,B,0
inst-0709,test,3,3,0,0,A,1
inst-0877,test,3,1,0,2,B,0
inst-0172,test,3,2,0,1,A,0
inst-0617,test,3,2,0,1,A,0
inst-0292,test,3,3,0,0,A,1
inst-0658,test,3,3,0,0,A,1
inst-0765,test,3,2,0,1,A,0
inst-0037,test,3,2,0,1,A,0
inst-0432,val,3,2,0,1,A,0
inst-0625,val,3,2,1,0,A,0
inst-0647,test,3,2,0,1,A,0
inst-0106,test,3,0,0,3,B,1
inst-0978,val,3,1,0,2,B,0
inst-0500,val,3,1,0,2,B,0
inst-0598,test,3,1,0,2,B,0
inst-0153,test,3,0,0,3,B,1
inst-0741,val,3,1,0,2,B,0
inst-0225,test,3,1,2,0,T,0
inst-0124,val,3,2,0,1,A,0
inst-0299,test,3,2,0,1,A,0
inst-0043,test,3,3,0,0,A,1
inst-0302,test,3,0,0,3,B,1
inst-0102,test,3,0,0,3,B,1
inst-0795,test,3,1,1,1,,0
inst-0087,test,3,0,1,2,B,0
inst-0809,val,3,0,0,3,B,1
inst-0837,val,3,0,0,3,B,1
inst-0430,val,3,1,1,1,,0
inst-0328,val,3,3,0,0,A,1
inst-0230,val,3,0,0,3,B,1
inst-0752,val,3,0,0,3,B,1
