set_id,instruction,original_w,original_h
inst-0021,Make the upload title lead the header.,390,560
inst-0153,Make creator identity and audience performance the focus.,390,844
inst-0302,Add the scheduled end time as a short line beneath the remaining time.,390,560
inst-0544,Make the scheduled date and time stand out first.,390,560
inst-0593,Let users join the upcoming meeting directly from the footer actions.,390,560
inst-0618,Add saved booking access to the error card actions.,390,844
inst-0774,"Big countdown and ""min left"" directly under the green label, room title below them, smaller.",390,560
inst-0825,Make destructive account actions distinct from routine account actions.,390,560
inst-0882,Add a clear-all action to the reasons header.,390,844
inst-0921,Make the primary action feel calmer and more trustworthy.,390,560
inst-0978,Make the combined value of selected accounts visible too.,390,844
inst-0002,"Rebuild the whole screen for a wide tablet. Add a button for extending time to the bottom button row, and then make the progress read as live at a glance.",390,560
inst-0006,"Rework the email icon and introduction copy. Restyle the code entry card with a pale blue-gray surface, subtle gray outline, and minimal shadow.",390,844
inst-0007,"Under the Owner column label, add a short gray line with the count of unowned tasks this sprint. Then split the bottom row: main button full card width below, back left and skip right above.",390,560
inst-0008,Make the overall screen a wide desktop canvas with the activity card centered. Place the activity card’s larger main panel on the left and footer on the right.,390,560
inst-0009,Move this to a watch screen and drop the thumbnail. Then emphasize the remaining time so it reads first.,390,560
inst-0010,Change what shows first in note date. Replace the saved status in place with a compact button retaining its label and opening version history. Move the note formatting toolbar.,390,844
inst-0011,"Switch to knee rehab; streak line becomes pain-stop guidance. Hide finished ones so only what's left shows, and then adjust the second card's prominence.",390,844
inst-0012,"Change the empty-state card to introduce medication schedule setup. Change the primary button from green to navy, keeping its white label and current prominence.",390,560
inst-0013,"Split the three ""More information"" rows into two groups. Then change the app name tagline's content.",390,844
inst-0014,Make the overall feel different. Reorganize the structure of the video list.,390,844
inst-0015,Rebuild the whole screen for a wide tablet layout. Then make the Stops row do something.,390,844
inst-0016,Add a compact Referral history text button beside the Recent referrals title.,390,844
inst-0018,Adjust the emphasis of the three plan cards.,390,844
inst-0019,Make the displayed times easier to convert across regions.,390,560
inst-0020,Rework the progress bar's feel.,390,560
inst-0022,"Replace New and Earlier with two groups, teammate notifications and automatic updates, newest first inside each.",390,560
inst-0023,"Make the conversation screen a desktop layout with the thread in a centered, comfortably narrow column.",390,844
inst-0024,Make it read as a tutor checking one student.,390,844
inst-0026,"Rework the ""Waiting in queue"" row structure. Then, change how the top upload card feels.",390,844
inst-0029,Try changing the selection order. Add access to all teammates in the teammate row.,390,560
inst-0030,"Rebuild for desktop: suggestion cards on the left, ""Others in your program tried"" on the right, link under the cards. Then three rows under ""Others in your program tried"": change what reads first.",390,560
inst-0031,Make its context feel different. Make the flow clear from reserve setup to transfer scheduling. Apply financial brand treatment to the primary button.,390,844
inst-0032,Make a change to the brand mark.,390,844
inst-0034,"Turn the Perks screen into a community host earnings screen. On desktop, use a wide app shell and move the primary navigation into a left rail. Change what appears first.",390,844
