set_id,revision,model,viewport_w,viewport_h,interactive,device
inst-0001,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0001,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0002,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0002,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0003,A,anthropic/claude-opus-5,390,844,0,
inst-0003,B,anthropic/claude-opus-5,390,844,0,
inst-0004,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0004,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0005,A,openai/gpt-5.6-sol,390,560,0,
inst-0005,B,openai/gpt-5.6-sol,390,560,0,
inst-0006,A,openai/gpt-5.6-sol,390,844,0,
inst-0006,B,openai/gpt-5.6-sol,390,844,0,
inst-0007,A,openai/gpt-5.6-sol,390,560,0,
inst-0007,B,openai/gpt-5.6-sol,390,560,0,
inst-0008,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0008,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0009,A,openai/gpt-5.6-sol,184,224,0,watch
inst-0009,B,openai/gpt-5.6-sol,184,224,0,watch
inst-0010,A,anthropic/claude-opus-5,390,844,0,
inst-0010,B,anthropic/claude-opus-5,390,844,0,
inst-0011,A,anthropic/claude-opus-5,390,844,0,
inst-0011,B,anthropic/claude-opus-5,390,844,0,
inst-0012,A,anthropic/claude-opus-5,390,560,0,
inst-0012,B,anthropic/claude-opus-5,390,560,0,
inst-0013,A,openai/gpt-5.6-sol,390,844,0,
inst-0013,B,openai/gpt-5.6-sol,390,844,0,
inst-0014,A,openai/gpt-5.6-sol,390,844,0,
inst-0014,B,openai/gpt-5.6-sol,390,844,0,
inst-0015,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0015,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0016,A,openai/gpt-5.6-sol,390,844,0,
inst-0016,B,openai/gpt-5.6-sol,390,844,0,
inst-0017,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0017,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0018,A,openai/gpt-5.6-sol,390,844,0,
inst-0018,B,openai/gpt-5.6-sol,390,844,0,
inst-0019,A,anthropic/claude-opus-5,390,560,0,
inst-0019,B,anthropic/claude-opus-5,390,560,0,
inst-0020,A,openai/gpt-5.6-sol,390,560,0,
inst-0020,B,openai/gpt-5.6-sol,390,560,0,
inst-0021,A,anthropic/claude-opus-5,390,560,0,
inst-0021,B,anthropic/claude-opus-5,390,560,0,
inst-0022,A,anthropic/claude-opus-5,390,560,0,
inst-0022,B,anthropic/claude-opus-5,390,560,0,
inst-0023,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0023,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0024,A,anthropic/claude-opus-5,390,844,0,
inst-0024,B,anthropic/claude-opus-5,390,844,0,
inst-0025,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0025,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0026,A,anthropic/claude-opus-5,390,844,0,
inst-0026,B,anthropic/claude-opus-5,390,844,0,
inst-0027,A,anthropic/claude-opus-5,390,844,0,
inst-0027,B,anthropic/claude-opus-5,390,844,0,
inst-0028,A,anthropic/claude-opus-5,768,1024,0,tablet
inst-0028,B,anthropic/claude-opus-5,768,1024,0,tablet
inst-0029,A,anthropic/claude-opus-5,390,560,0,
inst-0029,B,anthropic/claude-opus-5,390,560,0,
inst-0030,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0030,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0031,A,anthropic/claude-opus-5,390,844,0,
inst-0031,B,anthropic/claude-opus-5,390,844,0,
inst-0032,A,anthropic/claude-opus-5,390,844,0,
inst-0032,B,anthropic/claude-opus-5,390,844,0,
inst-0033,A,openai/gpt-5.6-sol,390,844,0,
inst-0033,B,openai/gpt-5.6-sol,390,844,0,
inst-0034,A,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0034,B,openai/gpt-5.6-sol,1024,768,0,desktop
inst-0035,A,anthropic/claude-opus-5,390,560,0,
inst-0035,B,anthropic/claude-opus-5,390,560,0,
inst-0036,A,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0036,B,openai/gpt-5.6-sol,768,1024,0,tablet
inst-0037,A,anthropic/claude-opus-5,390,560,0,
inst-0037,B,anthropic/claude-opus-5,390,560,0,
inst-0038,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0038,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0039,A,anthropic/claude-opus-5,390,844,0,
inst-0039,B,anthropic/claude-opus-5,390,844,0,
inst-0040,A,anthropic/claude-opus-5,390,844,0,
inst-0040,B,anthropic/claude-opus-5,390,844,0,
inst-0041,A,anthropic/claude-opus-5,390,844,0,
inst-0041,B,anthropic/claude-opus-5,390,844,0,
inst-0042,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0042,B,anthropic/claude-opus-5,1024,768,0,desktop
inst-0043,A,anthropic/claude-opus-5,1024,768,0,desktop
inst-0043,B,anthropic/claude-opus-5,1024,768,0,desktop
