set_id,split,k,specificity_mean,model,category_group,category_name
inst-0021,val,1,3.0,sol,Actions,Upload & Download
inst-0153,test,1,3.0,sol,Account Management,My Account & Profile
inst-0302,test,1,1.0,sol,Utility,Live Activities
inst-0544,train,1,3.0,sol,Utility,Reminder
inst-0593,test,1,2.0,sol,Utility,Widgets
inst-0618,train,1,2.0,sol,Communication,Error
inst-0774,train,1,1.0,opus,Utility,Timer & Clock
inst-0825,train,1,3.0,sol,Communication,Action Option
inst-0882,val,1,2.0,sol,Communication,Feedback
inst-0921,train,1,3.0,sol,Actions,Set
inst-0978,val,1,3.0,sol,Actions,Select
inst-0002,test,3,2.33,opus,Utility,Timer & Clock
inst-0006,val,2,1.5,sol,New User Experience,Verification
inst-0007,train,2,1.0,opus,New User Experience,Guided Tour & Tutorial
inst-0008,test,2,1.0,sol,Utility,Live Activities
inst-0009,train,2,2.0,opus,Utility,Dynamic Island
inst-0010,train,3,2.33,sol,Content,Note Detail
inst-0011,test,3,3.0,opus,Content,Goal & Task
inst-0012,test,2,1.5,sol,Communication,Empty State
inst-0013,train,2,3.0,opus,Communication,About
inst-0014,train,2,3.0,sol,User Collections,Playlists
inst-0015,val,2,3.0,opus,User Collections,Playlists
inst-0016,train,1,1.0,sol,Actions,Invite & Refer Friends
inst-0018,train,1,2.0,sol,Commerce & Finance,Pricing
inst-0019,test,1,3.0,sol,Utility,Date & Time
inst-0020,train,1,4.0,opus,Utility,Live Activities
inst-0022,train,1,1.0,opus,Social,Notifications
inst-0023,train,1,1.0,sol,Social,Chat Detail
inst-0024,train,1,3.0,opus,Data,Dashboard
inst-0026,train,2,4.0,opus,Actions,Upload & Download
inst-0029,val,2,3.0,sol,Utility,Filters & Stickers
inst-0030,train,2,2.5,opus,Communication,Suggestions & Similar Items
inst-0031,train,3,3.0,sol,Actions,Add & Create
inst-0032,test,1,2.0,sol,New User Experience,Splash Screen
inst-0034,test,3,2.33,sol,Commerce & Finance,Promotions & Rewards
inst-0035,val,3,2.0,opus,Actions,Invite & Refer Friends
inst-0037,test,1,2.0,opus,Communication,Action Option
inst-0039,train,3,1.0,opus,Content,Browse & Discover
inst-0040,train,2,2.5,opus,Social,Reviews & Ratings
inst-0041,train,3,2.0,sol,Utility,Calendar
inst-0044,train,2,1.0,opus,Actions,Follow & Subscribe
inst-0045,test,1,2.0,sol,Account Management,Login
inst-0046,train,1,3.0,opus,Commerce & Finance,Payment Method
inst-0047,test,2,1.5,sol,Commerce & Finance,Order History
inst-0048,train,2,3.0,opus,Content,Event Detail
inst-0049,train,1,4.0,sol,Content,Quiz
inst-0052,train,3,1.67,sol,Actions,Edit
inst-0054,train,2,2.5,sol,Communication,Terms & Conditions
inst-0056,train,1,4.0,sol,User Collections,Bookmarks & Collections
inst-0057,train,1,2.0,opus,Social,Comments
inst-0058,train,2,2.0,sol,Content,Stories
inst-0060,train,1,3.0,sol,Social,Comments
inst-0064,test,2,1.5,opus,New User Experience,Splash Screen
inst-0065,val,2,3.0,sol,Commerce & Finance,Wallet & Balance
inst-0067,train,2,2.5,sol,New User Experience,Account Setup
inst-0068,train,1,3.0,sol,Actions,Save
inst-0069,train,1,2.0,opus,Actions,Set
inst-0071,train,3,3.0,sol,Utility,Timeline & History
inst-0074,test,3,4.0,sol,Data,Progress
inst-0075,train,3,3.0,opus,Social,Leaderboard
inst-0076,train,3,1.67,sol,Actions,Schedule
inst-0079,train,1,1.0,sol,Utility,Audio Player
inst-0080,train,1,4.0,opus,Communication,Confirmation
inst-0083,train,1,4.0,sol,Commerce & Finance,Cart & Bag
inst-0084,train,1,3.0,opus,Content,Product Detail
inst-0085,test,1,4.0,sol,Actions,Select
inst-0086,train,1,2.0,opus,Actions,Select
inst-0087,test,3,1.0,sol,Account Management,Forgot Password
inst-0089,train,1,2.0,sol,Content,Article Detail
inst-0091,train,3,2.67,sol,Social,Followers & Following
inst-0092,train,3,2.67,opus,Utility,Date & Time
inst-0093,train,3,1.0,sol,Utility,Widgets
inst-0095,train,3,2.0,sol,Communication,Help & Support
inst-0096,train,2,3.0,sol,Actions,Draw & Annotate
inst-0097,train,2,1.5,opus,Actions,Share
inst-0098,train,3,1.0,sol,Content,Browse & Discover
inst-0099,train,3,1.0,opus,Commerce & Finance,Order Confirmation
inst-0100,train,2,3.0,sol,Communication,Suggestions & Similar Items
inst-0103,train,1,4.0,sol,Commerce & Finance,Billing
inst-0104,train,1,1.0,opus,Utility,Camera & Scanner
inst-0105,train,2,1.5,sol,Utility,Chat Bot
inst-0110,test,3,3.0,opus,Commerce & Finance,Order History
inst-0112,train,2,2.0,opus,Content,Emails & Messages
inst-0113,train,2,4.0,sol,Actions,Cancel
inst-0115,train,1,3.0,sol,Utility,Browser
inst-0116,train,1,4.0,opus,Actions,Cancel
inst-0119,train,2,3.5,sol,Commerce & Finance,Order Detail
inst-0120,train,2,2.0,opus,User Collections,Downloads & Available Offline
inst-0121,val,3,1.67,sol,User Collections,Downloads & Available Offline
