set_id,unit_ordinal,target_name,method_level,text
inst-0001,1,"Situation, Context & Scenario",3,Change this screen for restaurant reservations so diners can find openings.
inst-0001,2,Environment,4,Adapt the screen for desktop.
inst-0001,3,Style,2,Change the restaurant result cards’ visual style.
inst-0002,1,Environment,2,Rebuild the whole screen for a wide tablet.
inst-0002,2,Functionality & Behavior,2,Add a button for extending time to the bottom button row.
inst-0002,3,Style,3,Make the progress read as live at a glance.
inst-0003,1,"Situation, Context & Scenario",1,Change the screen to a local food bank volunteer schedule and replace each message preview with shift times.
inst-0003,2,Flow & Information Architecture,3,Make same-day shifts feel like one group.
inst-0003,3,Style,1,Change the top header background to dark green and the title and icons to white.
inst-0004,1,Environment,3,Make the screen desktop-wide and easy to scan.
inst-0005,1,"Situation, Context & Scenario",4,Change what this badge card is about.
inst-0006,1,Layout & Hierarchy,2,Rework the email icon and introduction copy.
inst-0006,2,Style,1,"Restyle the code entry card with a pale blue-gray surface, subtle gray outline, and minimal shadow."
inst-0007,1,Content & Information,1,"Under the Owner column label, add a short gray line with the count of unowned tasks this sprint."
inst-0007,2,Layout & Hierarchy,1,"Split the bottom row: main button full card width below, back left and skip right above."
inst-0008,1,Environment,1,Make the overall screen a wide desktop canvas with the activity card centered.
inst-0008,2,Layout & Hierarchy,1,Place the activity card’s larger main panel on the left and footer on the right.
inst-0009,1,Environment,2,Move this to a watch screen and drop the thumbnail.
inst-0009,2,Layout & Hierarchy,2,Emphasize the remaining time so it reads first.
inst-0010,1,Content & Information,4,Change what shows first in note date
inst-0010,2,Functionality & Behavior,1,Replace the saved status in place with a compact button retaining its label and opening version history.
inst-0010,3,Layout & Hierarchy,2,Move the note formatting toolbar.
inst-0011,1,"Situation, Context & Scenario",2,Switch to knee rehab; streak line becomes pain-stop guidance.
inst-0011,2,Functionality & Behavior,3,Hide finished ones so only what's left shows
inst-0011,3,Layout & Hierarchy,4,Adjust the second card's prominence.
inst-0012,1,"Situation, Context & Scenario",2,Change the empty-state card to introduce medication schedule setup.
inst-0012,2,Style,1,"Change the primary button from green to navy, keeping its white label and current prominence."
inst-0013,1,Flow & Information Architecture,2,"Split the three ""More information"" rows into two groups."
inst-0013,2,Content & Information,4,Change the app name tagline's content.
inst-0014,1,"Situation, Context & Scenario",4,Make the overall feel different.
inst-0014,2,Flow & Information Architecture,2,Reorganize the structure of the video list.
inst-0015,1,Environment,2,Rebuild the whole screen for a wide tablet layout.
inst-0015,2,Functionality & Behavior,4,Make the Stops row do something
inst-0016,1,Functionality & Behavior,1,Add a compact Referral history text button beside the Recent referrals title.
inst-0017,1,Environment,2,Rebuild this screen for desktop.
inst-0018,1,Layout & Hierarchy,2,Adjust the emphasis of the three plan cards.
inst-0019,1,Content & Information,3,Make the displayed times easier to convert across regions.
inst-0020,1,Style,4,Rework the progress bar's feel.
inst-0021,1,Layout & Hierarchy,3,Make the upload title lead the header.
inst-0022,1,Flow & Information Architecture,1,"Replace New and Earlier with two groups, teammate notifications and automatic updates, newest first inside each."
inst-0023,1,Environment,1,"Make the conversation screen a desktop layout with the thread in a centered, comfortably narrow column."
inst-0024,1,"Situation, Context & Scenario",3,Make it read as a tutor checking one student.
inst-0025,1,Environment,3,"Adapt the screen for desktop, keeping the goal and both queues visible."
inst-0025,2,Content & Information,3,Make the total remaining time visible at a glance.
inst-0026,1,Functionality & Behavior,4,"Rework the ""Waiting in queue"" row structure."
inst-0026,2,Style,4,Change how the top upload card feels.
inst-0027,1,"Situation, Context & Scenario",3,Make it a children’s language-practice service parents can trust.
