submission_id,revision,item_ref,x,y,w,h,note
SUB-BpZhTw1ufo,A,unrequested,0.6213,0.4224,0.1554,0.3336,
SUB-U6mhRyIGUs,B,unrequested,0.0477,0.5529,0.9306,0.08,"There are parts where content that wasn't there was added, but not to the extent that it's a big design annoyance."
SUB-i_NBn3HQ_2,A,unit:1,0.4377,0.4028,0.144,0.0647,
SUB-aRWxKzeFUJ,A,unit:1,0.1597,0.4554,0.1859,0.0615,The second line is applied well.
SUB-aRWxKzeFUJ,A,unit:2,0.0409,0.1477,0.9536,0.1167,The text size change was reflected well.
SUB-aRWxKzeFUJ,A,unrequested,0.5984,0.5388,0.2498,0.07,This part was modified.
SUB-5vZcjdbBHp,B,unrequested,0.0272,0.6783,0.9728,0.132,This part seems like a decent choice for readability.
SUB-5vZcjdbBHp,B,unrequested,0.0272,0.2635,0.9728,0.122,I don't understand why it suddenly added an element that wasn't requested in the most visible part of the screen.
SUB-BHVJaQW8Wj,A,unrequested,0.0222,0.0081,0.0525,0.07,Changed the back icon style.
SUB-BHVJaQW8Wj,A,unrequested,0.8026,0.0081,0.1838,0.0732,Added labels to the icons.
SUB-BHVJaQW8Wj,A,unrequested,0.9148,0.1895,0.0501,0.3914,Added a play button for each chapter.
SUB-BHVJaQW8Wj,B,unrequested,0.1153,0.094,0.864,0.28,"A title area was added to the banner only in the PC environment, which makes it look less consistent with the mobile design."
SUB-BHVJaQW8Wj,B,unrequested,0.6451,0.495,0.0597,0.3628,The chapter list thumbnail design differs from mobile.
SUB-BHVJaQW8Wj,B,dq_hierarchy,0.124,0.1481,0.4768,0.3808,The connection between the title and the body text became weaker.
SUB-BHVJaQW8Wj,B,dq_layout,0.115,0.6249,0.5015,0.3089,The card background color and element design for the episode details are different.
SUB-U6EYE9P_vE,B,overall,0.0217,0.6719,0.9609,0.082,Needs to be fixed so that it can scroll or so that all the content is visible.
SUB-eY2ymU6Dsc,A,unrequested,0.0824,0.0536,0.8208,0.1504,The icon seems unnecessary.
SUB-eY2ymU6Dsc,A,unrequested,0.0709,0.5029,0.8554,0.2006,Good — it reads as an accent point.
SUB-eY2ymU6Dsc,A,unrequested,0.0882,0.7937,0.8352,0.1023,Good — the button area is clearly visible.
SUB-BEe-xD3HTR,A,unit:1,0.5501,0.1862,0.3852,0.036,"Showing the start time as text only, and twice at that, doesn't really give an ""at-a-glance"" effect — it's just overkill."
SUB-BEe-xD3HTR,A,unit:1,0.087,0.3254,0.4155,0.084,Same as above.
SUB-BEe-xD3HTR,A,unit:1,0.2168,0.4176,0.5887,0.11,"Wouldn't it have been better to make this part interactive, show the start time here, and get rid of the #1, #2 texts?"
SUB-BEe-xD3HTR,A,unit:2,0.3467,0.0174,0.329,0.056,"The part with red on the white background at the very top has weaker contrast than on a black background, so it barely catches the eye in practice."
SUB-BEe-xD3HTR,A,unrequested,0.2731,0.2976,0.4588,0.022,Seems like overly detailed and excessive information.
SUB-BEe-xD3HTR,B,unit:1,0.0653,0.4462,0.0866,0.072,"It was good that they used an element expressing the passage of time. But if there are only two states anyway — ""start"" and ""recording"" — is it really meaningful? (If showing the Pause and Stop times matters, then it seems like a fine approach.)"
SUB-BEe-xD3HTR,B,unit:1,0.3726,0.1034,0.1645,0.04,It was good that they showed it once more here.
SUB-BEe-xD3HTR,B,unit:2,0.0264,0.0674,0.9523,0.102,"It was good that they changed it to a separate card form + red in line with the intent, but since that red is also used all over the place elsewhere, the urgency doesn't come across well."
SUB-BEe-xD3HTR,B,dq_layout,0.0913,0.2674,0.8354,0.068,"01:24 and the info next to it are
2 columns + Fill"
SUB-BEe-xD3HTR,B,dq_layout,0.1129,0.3474,0.7185,0.08,"The wave image is
center-aligned"
SUB-BEe-xD3HTR,B,dq_layout,0.0177,0.4374,0.9739,0.082,"Icon + time + description
3 columns + left-aligned"
